Station,Station ID,Station Name,Rail Lines Served,State Designated TOD,Jurisdiction,TOD Place Type,Area Population (2010),Station Type,Transit Score,Station Facility Score,Parking Score,Bike Access Score,Ped Access Score,TOD Zoning Score,Development Market,Total Rail Lines,Modes Served,Transit Connections,Connecting Bus Routes,Connecting Bus Routes (Text),Weekday Ridership: MARC Penn,Weekday Ridership: MARC Camden,Weekday Ridership: MARC Brunswick,Weekday Ridership: Metro,Weekday Ridership: Light Rail,Weekday_ridership,Weekend Ridership: MARC Penn,Weekend Ridership: MARC Camden,Weekend Ridership: MARC Brunswick,Weekend Ridership: Metro,Weekend Ridership: Light Rail,,Frequency of Service Weekday: MARC Penn,Frequency of Service Weekday: MARC Camden,Frequency of Service Weekday: MARC Brunswick,Frequency of Service Weekday: Metro,Frequency of Service Weekday: Light Rail,Frequency_of_Service_Weekday_All,Frequency of Service Weekend: MARC Penn,Frequency of Service Weekend: MARC Camden,Frequency of Service Weekend: MARC Brunswick,Frequency of Service Weekend: Metro,Frequency of Service Weekend: Light Rail,Track Crossing,Schedule Information,Route Information,Ticket Booth/Machine,Shelter,Benches,Public Restrooms,Public Phones,Parking Spots Regular,Parking Fee,Parking Spots ADA,EVC Charge Stations,EVC Charge Stations Occupied,Vehicles Parked (2010),Vehicles Parked (2014),Utilization Rate (2014) ,Spaces relative to number of Average Daily Riders (Weekday) Total lines,Spaces relative to number of Average Daily Riders (Weekend) Total lines,Spaces relative to other stations on the same line,Intersection Density (1 Mile Diameter),Short Trip Opportunity Analysis (1 Mile Buffer),Number of Bicycle Racks,Type of Bicycle Racks,Number of Bicycle Lockers,Number of Bicycle Lockers Occupied,Locally Designated TOD,Zoning Summary,Local Zoning Descriptions,Area Master plans,Residential Alterations (units),Residentail Alterations (permits),Residential New Construction (permits),Residential New Construction (units),Non Residential Alterations (permits),Non Residentail New Contruction (permits),Mixed-Use New Construction (permits),Mixed-Use New Construction (units),Count of MD Property View Parcels,Cumulative Composite Score (YEARBLT score x SQFTSTRC score),Location
Union Station,1,Union Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(38.897595, -77.028886)"
Penn Station,2,Penn Station,MARC: Penn Line; Light Rail; Amtrak,Yes,Baltimore City,Downtown,604827,Urban Neighborhood,3,5,5,5,5,5,5,3,5,Local Bus; Amtrak,"003, 011, 061, 064","3, 11, 61, 64",3712.92,,,,291.46,291.46,,,,,,,29,,,,38,38,9,,,,36,Grade Separated,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,Yes,0,0,0,494,,0%,0,,0,327.275,7,7,3 Campus; 4 Covered Vertical,0,,Yes,TOD-4 proposed zoning,,,177,280,59,421,261,10,1,280,,,"(39.307533, -76.616021)"
Camden Station,3,Camden Station,MARC: Camden Line; Light Rail,No,Baltimore City,Downtown,549217,Walk-up,2,1,3,3,5,5,5,3,5,Local Bus; Express Bus; Commuter Bus,"007, 019, 035, 120,160,320,410,411,420","7, 19, 35, 120, 160, 320, 410, 411, 420",,389.17,,,630.44,630.44,,,,,,,,9,,,,9,,,,,108,On Grade,No,Yes,Yes,Yes,Yes,No,No,28,Yes,0,0,0,0,,,0.03,,0.213370281,264.876,10,5,2 Covered Vertical; 2 Inverted U; 1 Wave,0,,No,C-5 Downtown District,,,129,146,16,649,0,20,0,0,,,"(39.283762, -76.619955)"
Owings Mills,4,Owings Mills,Metro,Yes,Baltimore County,"Town, Suburban, or Employment Center",175524,Anchor,5,3,1,5,2,4,3,1,2,Local Bus,"056, 059","56, 59",,,,3643.95,,3643.95,,,,1383,,,,,,116,,116,,,,70,,Grade Separated,No,Yes,Yes,Yes,Yes,Yes,Yes,2883,No,95,0,0,2232,381,17%,0.64,1.92,6.978,21.6486,3,0,N/A,10,3,Yes,BM-CT Town Center Zoning,http://www.baltimorecountymd.gov/Agencies/planning/zoning/classifications.html,Master Plans\Baltimore Metro\Owings Mills\owingmills1995.pdf,0,1,0,0,0,8,2,232,,,"(39.407674, -76.781407)"
Old Court,5,Old Court,Metro,No,Baltimore County,"Town, Suburban, or Employment Center",275633,Anchor,5,3,3,1,3,1,1,1,2,Local Bus,"018, 053, 077, 099","18, 53, 77, 99",,,,1183.05,,1183.05,,,,478.75,,,,,,116,,116,,,,70,,Grade Separated,Yes,Yes,Yes,Yes,Yes,No,Yes,540,No,25,0,0,411,362,88%,0.36,0.98,1.307,57.305,5,2,2 Inverted U,8,0,No,DR 5.5 - Med density residential,http://www.baltimorecountymd.gov/Agencies/planning/zoning/classifications.html,,0,11,1,1,0,0,0,0,,,"(39.371833, -76.74446)"
Milford Mill,6,Milford Mill,Metro,No,Baltimore County,"Town, Suburban, or Employment Center",319823,Anchor,5,3,5,2,4,1,1,1,2,Local Bus,54,54,,,,1433.36,,1433.36,,,,583.25,,,,,,116,,116,,,,70,,Grade Separated,Yes,Yes,Yes,Yes,Yes,No,Yes,1000,No,44,0,0,677,535,79%,0.55,1.39,2.42,86.5942,6,2,2 Inverted U,10,0,Yes,DR 5.5 - Med density residential,http://www.baltimorecountymd.gov/Agencies/planning/zoning/classifications.html,Master Plans\Baltimore Metro\Milford Mill\pikesvillerevitalizationplan2003.pdf,0,11,8,8,0,1,0,0,,,"(39.359546, -76.721415)"
Resisterstown Plaza,7,Resisterstown Plaza,Metro,Yes,Baltimore City,Urban Neighborhood,400814,Neighborhood,5,2,2,4,4,5,3,1,2,Local Bus,"027, 058, 059, 060","27, 58, 59, 60",,,,1878.82,,1878.82,,,,784.25,,,,,,117,,117,,,,71,,Grade Separated,No,Yes,Yes,Yes,Yes,No,Yes,675,No,22,0,0,258,403,156%,0.27,0.68,1.634,99.3286,6,2,2 Inverted U,10,0,No,I-2 TOD-3 & TOD-4 small area,http://cityview.baltimorecity.gov,Master Plans\Baltimore Metro\Reisterstown\Reisterstown Plaza URP1981.pdf,0,7,23,23,0,12,0,0,,,"(39.352452, -76.705896)"
Rogers Avenue,8,Rogers Avenue,Metro,No,Baltimore City,Urban Neighborhood,470630,Neighborhood,5,3,5,4,4,5,2,1,2,Local Bus,"027, 033, 044, 051, 057, 091","27, 33, 44, 51, 57, 91",,,,2433.45,,2433.45,,,,1117.25,,,,,,117,,117,,,,71,,Grade Separated,Yes,Yes,Yes,Yes,Yes,No,Yes,318,No,19,0,0,266,238,90%,0.11,0.24,0.77,191.017,6,2,2 Inverted U,10,0,Yes,I-2 TOD-2 Transit Oriented Development,http://cityview.baltimorecity.gov/,,0,11,6,62,0,3,0,0,,,"(39.344458, -76.693504)"
West Cold Spring,9,West Cold Spring,Metro,No,Baltimore City,Urban Neighborhood,546561,Neighborhood,5,3,1,3,4,5,2,1,3,Local Bus; Neighborhood Shuttle,"033, 051","33, 51",,,,1487.14,,1487.14,,,,738.25,,,,,,117,,117,,,,71,,Grade Separated,Yes,Yes,Yes,Yes,Yes,No,Yes,235,No,12,0,0,137,142,104%,0.12,0.25,0.569,217.759,7,2,2 Inverted U,10,0,No,I-2 TOD-2 Transit Oriented Development,http://cityview.baltimorecity.gov/,,0,6,2,2,0,9,0,0,,,"(39.337018, -76.673413)"
Mondawmin,10,Mondawmin,Metro,No,Baltimore City,Urban Neighborhood,622731,Neighborhood,5,3,3,4,4,5,3,1,3,Local Bus; Neighborhood Shuttle,"001, 005, 007, 016, 021, 022, 051, 052, 053, 054","1, 5, 7, 16, 21, 22, 51, 52, 53, 54",,,,3001,,3001,,,,1412.25,,,,,,117,,117,,,,71,,Below Grade,Yes,Yes,Yes,Yes,Yes,No,Yes,133,No,6,0,0,133,138,104%,0.02,0.04,0.322,196.11,6,0,N/A,10,0,Yes,TOD-2 Transit Oriented Development,http://cityview.baltimorecity.gov/,,0,19,3,85,0,12,0,0,,,"(39.318273, -76.65279)"
